[03/06/25 13:02:52] ViciValco device is connected.
[03/06/25 13:03:32] ViciValco device is connected.
[14/06/25 18:31:12] ViciValco moved to position B.
[14/06/25 18:31:16] ViciValco moved to position A.
[14/06/25 18:33:18] ViciValco moved to position B.
[14/06/25 18:33:22] ViciValco moved to position A.
[14/06/25 18:35:24] ViciValco moved to position B.
[14/06/25 18:35:28] ViciValco moved to position A.
[14/06/25 18:37:30] ViciValco moved to position B.
[14/06/25 18:37:34] ViciValco moved to position A.
[14/06/25 18:39:36] ViciValco moved to position B.
[14/06/25 18:39:40] ViciValco moved to position A.
[14/06/25 18:41:42] ViciValco moved to position B.
[14/06/25 18:41:46] ViciValco moved to position A.
[14/06/25 18:43:48] ViciValco moved to position B.
[14/06/25 18:43:52] ViciValco moved to position A.
[14/06/25 18:45:54] ViciValco moved to position B.
[14/06/25 18:45:58] ViciValco moved to position A.
[14/06/25 18:48:00] ViciValco moved to position B.
[14/06/25 18:48:04] ViciValco moved to position A.
[14/06/25 18:50:06] ViciValco moved to position B.
[14/06/25 18:50:10] ViciValco moved to position A.
[14/06/25 18:52:12] ViciValco moved to position B.
[14/06/25 18:52:16] ViciValco moved to position A.
[14/06/25 18:54:18] ViciValco moved to position B.
[14/06/25 18:54:22] ViciValco moved to position A.
[14/06/25 18:56:25] ViciValco moved to position B.
[14/06/25 18:56:29] ViciValco moved to position A.
[14/06/25 19:43:19] ViciValco moved to position B.
[14/06/25 19:43:23] ViciValco moved to position A.
[14/06/25 19:45:25] ViciValco moved to position B.
[14/06/25 19:45:29] ViciValco moved to position A.
[14/06/25 19:47:31] ViciValco moved to position B.
[14/06/25 19:47:35] ViciValco moved to position A.
[14/06/25 19:49:37] ViciValco moved to position B.
[14/06/25 19:49:41] ViciValco moved to position A.
[14/06/25 19:51:43] ViciValco moved to position B.
[14/06/25 19:51:47] ViciValco moved to position A.
[14/06/25 19:53:49] ViciValco moved to position B.
[14/06/25 19:53:54] ViciValco moved to position A.
[14/06/25 19:55:56] ViciValco moved to position B.
[14/06/25 19:56:00] ViciValco moved to position A.
[14/06/25 19:58:02] ViciValco moved to position B.
[14/06/25 19:58:06] ViciValco moved to position A.
[14/06/25 20:00:08] ViciValco moved to position B.
[14/06/25 20:00:12] ViciValco moved to position A.
[14/06/25 20:02:14] ViciValco moved to position B.
[14/06/25 20:02:18] ViciValco moved to position A.
[14/06/25 20:04:20] ViciValco moved to position B.
[14/06/25 20:04:24] ViciValco moved to position A.
[14/06/25 20:06:26] ViciValco moved to position B.
[14/06/25 20:06:30] ViciValco moved to position A.
[14/06/25 20:08:32] ViciValco moved to position B.
[14/06/25 20:08:36] ViciValco moved to position A.
[14/06/25 20:10:38] ViciValco moved to position B.
[14/06/25 20:10:42] ViciValco moved to position A.
[14/06/25 20:12:44] ViciValco moved to position B.
[14/06/25 20:12:48] ViciValco moved to position A.
[14/06/25 20:26:01] ViciValco moved to position B.
[14/06/25 20:26:05] ViciValco moved to position A.
[14/06/25 20:28:07] ViciValco moved to position B.
[14/06/25 20:28:11] ViciValco moved to position A.
[14/06/25 20:30:13] ViciValco moved to position B.
[14/06/25 20:30:17] ViciValco moved to position A.
[14/06/25 20:32:19] ViciValco moved to position B.
[14/06/25 20:32:23] ViciValco moved to position A.
[14/06/25 20:34:25] ViciValco moved to position B.
[14/06/25 20:34:29] ViciValco moved to position A.
[14/06/25 20:36:31] ViciValco moved to position B.
[14/06/25 20:36:35] ViciValco moved to position A.
[14/06/25 20:38:37] ViciValco moved to position B.
[14/06/25 20:38:41] ViciValco moved to position A.
[14/06/25 20:40:43] ViciValco moved to position B.
[14/06/25 20:40:47] ViciValco moved to position A.
[14/06/25 20:42:49] ViciValco moved to position B.
[14/06/25 20:42:53] ViciValco moved to position A.
[14/06/25 20:44:55] ViciValco moved to position B.
[14/06/25 20:44:59] ViciValco moved to position A.
[14/06/25 20:47:01] ViciValco moved to position B.
[14/06/25 20:47:05] ViciValco moved to position A.
[14/06/25 20:49:07] ViciValco moved to position B.
[14/06/25 20:49:11] ViciValco moved to position A.
[14/06/25 20:51:13] ViciValco moved to position B.
[14/06/25 20:51:17] ViciValco moved to position A.
[14/06/25 20:53:20] ViciValco moved to position B.
[14/06/25 20:53:24] ViciValco moved to position A.
[14/06/25 20:55:26] ViciValco moved to position B.
[14/06/25 20:55:30] ViciValco moved to position A.
[17/06/25 13:17:09] ViciValco device is connected.
[17/06/25 13:18:26] ViciValco moved to position B.
[17/06/25 13:18:38] ViciValco moved to position A.
[17/06/25 13:19:06] ViciValco moved to position B.
[17/06/25 13:19:09] ViciValco moved to position A.
[17/06/25 13:19:16] ViciValco moved to position B.
[17/06/25 13:19:26] ViciValco moved to position A.
[17/06/25 13:19:36] ViciValco moved to position B.
[17/06/25 13:25:26] ViciValco moved to position A.
[17/06/25 13:25:28] ViciValco moved to position B.
[17/06/25 13:25:36] ViciValco moved to position A.
[17/06/25 15:14:09] ViciValco device is connected.
[17/06/25 15:14:14] ViciValco moved to position B.
[17/06/25 15:15:33] ViciValco moved to position A.
[17/06/25 15:15:37] ViciValco moved to position B.
[17/06/25 15:17:08] ViciValco moved to position A.
[17/06/25 15:17:12] ViciValco moved to position B.
[17/06/25 15:17:42] ViciValco moved to position A.
[17/06/25 15:17:46] ViciValco moved to position B.
[17/06/25 15:17:54] ViciValco moved to position A.
[17/06/25 15:17:58] ViciValco moved to position B.
[17/06/25 15:19:24] ViciValco moved to position A.
[17/06/25 15:19:28] ViciValco moved to position B.
[17/06/25 15:20:08] ViciValco moved to position A.
[17/06/25 15:20:12] ViciValco moved to position B.
[17/06/25 15:20:22] ViciValco moved to position A.
[17/06/25 15:20:26] ViciValco moved to position B.
[17/06/25 15:20:52] ViciValco moved to position A.
[17/06/25 15:20:56] ViciValco moved to position B.
[17/06/25 15:21:31] ViciValco moved to position A.
[17/06/25 15:21:35] ViciValco moved to position B.
[17/06/25 15:21:45] ViciValco moved to position A.
[17/06/25 15:21:49] ViciValco moved to position B.
[17/06/25 15:22:43] ViciValco moved to position A.
[17/06/25 15:22:45] ViciValco moved to position B.
[17/06/25 15:22:55] ViciValco moved to position A.
[17/06/25 15:22:57] ViciValco moved to position B.
[17/06/25 15:25:18] ViciValco moved to position A.
[17/06/25 15:25:20] ViciValco moved to position B.
[17/06/25 15:27:10] ViciValco moved to position A.
[17/06/25 15:27:12] ViciValco moved to position B.
[17/06/25 15:27:22] ViciValco moved to position A.
[17/06/25 15:27:24] ViciValco moved to position B.
[17/06/25 15:28:03] ViciValco moved to position A.
[17/06/25 15:28:05] ViciValco moved to position B.
[17/06/25 15:28:13] ViciValco moved to position A.
[17/06/25 15:28:16] ViciValco moved to position B.
[17/06/25 15:28:21] ViciValco moved to position A.
[17/06/25 15:28:23] ViciValco moved to position B.
[17/06/25 15:28:29] ViciValco moved to position A.
[17/06/25 15:28:31] ViciValco moved to position B.
[17/06/25 15:28:36] ViciValco moved to position A.
[17/06/25 15:28:39] ViciValco moved to position B.
[17/06/25 15:28:54] ViciValco moved to position A.
[17/06/25 15:28:56] ViciValco moved to position B.
[17/06/25 15:29:01] ViciValco moved to position A.
[17/06/25 15:29:04] ViciValco moved to position B.
[17/06/25 15:29:12] ViciValco moved to position A.
[17/06/25 15:29:14] ViciValco moved to position B.
[17/06/25 15:29:19] ViciValco moved to position A.
[17/06/25 15:29:22] ViciValco moved to position B.
[17/06/25 15:29:27] ViciValco moved to position A.
[17/06/25 15:29:30] ViciValco moved to position B.
[17/06/25 15:29:36] ViciValco moved to position A.
[17/06/25 15:29:38] ViciValco moved to position B.
[17/06/25 15:29:44] ViciValco moved to position A.
[17/06/25 15:29:46] ViciValco moved to position B.
[17/06/25 15:29:52] ViciValco moved to position A.
[17/06/25 15:29:54] ViciValco moved to position B.
[17/06/25 15:30:28] ViciValco moved to position A.
[17/06/25 15:30:30] ViciValco moved to position B.
[17/06/25 15:30:35] ViciValco moved to position A.
[17/06/25 15:30:38] ViciValco moved to position B.
[17/06/25 15:30:44] ViciValco moved to position A.
[17/06/25 15:30:46] ViciValco moved to position B.
[17/06/25 15:31:11] ViciValco moved to position A.
[17/06/25 15:31:13] ViciValco moved to position B.
[17/06/25 15:31:19] ViciValco moved to position A.
[17/06/25 15:31:21] ViciValco moved to position B.
[17/06/25 15:31:27] ViciValco moved to position A.
[17/06/25 15:31:29] ViciValco moved to position B.
[17/06/25 15:31:45] ViciValco moved to position A.
[17/06/25 15:31:47] ViciValco moved to position B.
[17/06/25 15:31:54] ViciValco moved to position A.
[17/06/25 15:31:56] ViciValco moved to position B.
[17/06/25 15:32:01] ViciValco moved to position A.
[17/06/25 15:32:03] ViciValco moved to position B.
[17/06/25 15:32:09] ViciValco moved to position A.
[17/06/25 15:32:12] ViciValco moved to position B.
[17/06/25 15:32:27] ViciValco moved to position A.
[17/06/25 15:32:29] ViciValco moved to position B.
[17/06/25 15:32:35] ViciValco moved to position A.
[17/06/25 15:32:37] ViciValco moved to position B.
[17/06/25 15:32:43] ViciValco moved to position A.
[17/06/25 15:32:46] ViciValco moved to position B.
[17/06/25 15:32:51] ViciValco moved to position A.
[17/06/25 15:32:53] ViciValco moved to position B.
[17/06/25 15:32:59] ViciValco moved to position A.
[17/06/25 15:33:01] ViciValco moved to position B.
[17/06/25 15:33:06] ViciValco moved to position A.
[17/06/25 15:33:09] ViciValco moved to position B.
[17/06/25 15:33:17] ViciValco moved to position A.
[17/06/25 15:33:19] ViciValco moved to position B.
[17/06/25 15:33:24] ViciValco moved to position A.
[17/06/25 15:33:26] ViciValco moved to position B.
[17/06/25 15:33:32] ViciValco moved to position A.
[17/06/25 15:33:35] ViciValco moved to position B.
[17/06/25 15:33:40] ViciValco moved to position A.
[17/06/25 15:33:42] ViciValco moved to position B.
[17/06/25 15:33:47] ViciValco moved to position A.
[17/06/25 15:33:49] ViciValco moved to position B.
[17/06/25 15:33:55] ViciValco moved to position A.
[17/06/25 15:33:57] ViciValco moved to position B.
[17/06/25 15:34:02] ViciValco moved to position A.
[17/06/25 15:34:05] ViciValco moved to position B.
[17/06/25 15:34:10] ViciValco moved to position A.
[17/06/25 15:34:12] ViciValco moved to position B.
[17/06/25 15:34:17] ViciValco moved to position A.
[17/06/25 15:34:19] ViciValco moved to position B.
[17/06/25 15:34:25] ViciValco moved to position A.
[17/06/25 15:34:27] ViciValco moved to position B.
[17/06/25 15:34:32] ViciValco moved to position A.
[17/06/25 15:34:35] ViciValco moved to position B.
[17/06/25 15:34:40] ViciValco moved to position A.
[17/06/25 15:34:42] ViciValco moved to position B.
[17/06/25 15:34:47] ViciValco moved to position A.
[17/06/25 15:34:50] ViciValco moved to position B.
[17/06/25 15:34:56] ViciValco moved to position A.
[17/06/25 15:34:58] ViciValco moved to position B.
[17/06/25 15:35:03] ViciValco moved to position A.
[17/06/25 15:35:05] ViciValco moved to position B.
